zipcode,1,2,3,4,5,6,Total_Returns,Bracket_1_Percentage,Bracket_2_Percentage,Bracket_3_Percentage,Bracket_4_Percentage,Bracket_5_Percentage,Bracket_6_Percentage,average
10460,14970.0,6420.0,2210.0,770.0,480.0,30.0,24880.0,0.6016881028938906,0.2580385852090032,0.08882636655948553,0.03094855305466238,0.01929260450160772,0.0012057877813504824,1.6117363344051445
10461,8690.0,6040.0,4130.0,2260.0,2530.0,330.0,23980.0,0.3623853211009174,0.2518765638031693,0.17222685571309423,0.09424520433694746,0.10550458715596331,0.013761467889908258,2.369891576313595
10462,16630.0,10840.0,6760.0,3060.0,2360.0,150.0,39800.0,0.4178391959798995,0.2723618090452261,0.16984924623115577,0.07688442211055277,0.0592964824120603,0.0037688442211055275,2.098743718592965
10463,12800.0,7360.0,5010.0,3130.0,4270.0,1440.0,34010.0,0.3763598941487798,0.21640693913554837,0.14730961481917082,0.09203175536606881,0.1255513084386945,0.042340488091737724,2.501029109085563
10464,570.0,390.0,350.0,250.0,420.0,160.0,2140.0,0.26635514018691586,0.1822429906542056,0.16355140186915887,0.11682242990654206,0.19626168224299065,0.07476635514018691,3.018691588785047
10465,6330.0,4370.0,3280.0,2150.0,3060.0,530.0,19720.0,0.3209939148073022,0.2216024340770791,0.1663286004056795,0.10902636916835699,0.15517241379310345,0.0268762677484787,2.6364097363083165
10466,15260.0,9320.0,4360.0,2090.0,1890.0,110.0,33030.0,0.46200423857099604,0.28216772630941567,0.1320012110202846,0.06327580986981532,0.05722070844686648,0.003330305782621859,1.9815319406600058
10467,22520.0,12310.0,5640.0,2140.0,1690.0,110.0,44410.0,0.5070929970727314,0.2771898221121369,0.1269984237784283,0.048187345192524204,0.038054492231479393,0.0024769196126998424,1.8403512722359827
10468,20960.0,9050.0,3530.0,1320.0,840.0,50.0,35750.0,0.5862937062937063,0.25314685314685315,0.09874125874125875,0.036923076923076927,0.023496503496503496,0.0013986013986013986,1.6623776223776228
10469,13790.0,8530.0,4760.0,2530.0,2690.0,300.0,32600.0,0.42300613496932515,0.2616564417177914,0.1460122699386503,0.07760736196319018,0.08251533742331288,0.009202453987730062,2.162576687116564
10470,2960.0,1840.0,1210.0,660.0,860.0,130.0,7660.0,0.38642297650130547,0.2402088772845953,0.15796344647519583,0.08616187989556136,0.1122715404699739,0.016971279373368148,2.348563968668407
10471,2360.0,1620.0,1530.0,1260.0,2060.0,1060.0,9890.0,0.23862487360970677,0.16380182002022245,0.15470171890798787,0.12740141557128412,0.2082912032355915,0.10717896865520728,3.2244691607684532
10472,16550.0,7480.0,2890.0,1010.0,720.0,40.0,28690.0,0.5768560474032765,0.2607180202161032,0.10073196235622169,0.03520390379923318,0.025095852213314743,0.0013942140118508191,1.675148135238759
10473,12990.0,7670.0,3780.0,1790.0,1620.0,110.0,27960.0,0.4645922746781116,0.27432045779685266,0.1351931330472103,0.06402002861230328,0.05793991416309013,0.003934191702432046,1.988197424892704
10474,3010.0,1380.0,470.0,130.0,70.0,0.0,5060.0,0.5948616600790514,0.2727272727272727,0.09288537549407115,0.025691699604743084,0.01383399209486166,0.0,1.5909090909090908
10475,7370.0,6360.0,4630.0,2400.0,1790.0,100.0,22650.0,0.32538631346578367,0.280794701986755,0.2044150110375276,0.10596026490066225,0.07902869757174392,0.004415011037527594,2.3456953642384106
11004,1960.0,1310.0,1060.0,890.0,1290.0,240.0,6750.0,0.2903703703703704,0.19407407407407407,0.15703703703703703,0.13185185185185186,0.19111111111111112,0.035555555555555556,2.845925925925926
11005,210.0,160.0,200.0,180.0,450.0,230.0,1430.0,0.14685314685314685,0.11188811188811189,0.13986013986013987,0.1258741258741259,0.3146853146853147,0.16083916083916083,3.832167832167832
11101,5850.0,3380.0,2510.0,1550.0,2480.0,1270.0,17040.0,0.34330985915492956,0.1983568075117371,0.14730046948356806,0.09096244131455399,0.14553990610328638,0.07453051643192488,2.720657276995305
